period,cock,crow,owl,peacock,vulture
0,2,3,1,4,5
1,2,3,1,4,5
2,2,3,1,4,5
3,2,3,1,4,1
4,2,3,1,5,1
5,2,3,1,5,1
6,2,2,1,1,1
7,2,2,3,1,1
8,2,2,3,1,1
9,4,2,3,1,3
10,4,2,3,1,3
11,4,2,3,1,3
12,5,2,2,3,3
13,5,2,2,3,3
14,1,4,2,3,2
15,1,4,2,3,2
16,1,4,2,3,2
17,1,5,2,2,2
18,1,5,2,2,2
19,1,1,2,2,2
20,3,1,4,2,2
21,3,1,4,2,2
22,3,1,4,2,4
23,3,1,5,2,4
24,3,1,5,2,4
25,4,2,3,5,1
26,4,2,3,5,1
27,4,2,3,1,1
28,5,2,3,1,1
29,5,2,3,1,1
30,1,2,2,1,1
31,1,2,2,1,3
32,1,2,2,1,3
33,1,4,2,3,3
34,1,4,2,3,3
35,1,4,2,3,3
36,3,5,2,3,2
37,3,5,2,3,2
38,3,1,4,2,2
39,3,1,4,2,2
40,3,1,4,2,2
41,2,1,5,2,2
42,2,1,5,2,2
43,2,1,1,2,2
44,2,3,1,2,4
45,2,3,1,2,4
46,2,3,1,4,4
47,2,3,1,4,5
48,2,3,1,4,5
49,5,4,2,1,3
50,5,4,2,1,3
51,1,4,2,1,3
52,1,5,2,1,3
53,1,5,2,1,3
54,1,1,2,1,2
55,1,1,2,3,2
56,1,1,2,3,2
57,3,1,4,3,2
58,3,1,4,3,2
59,3,1,4,3,2
60,3,3,5,2,2
61,3,3,5,2,2
62,2,3,1,2,4
63,2,3,1,2,4
64,2,3,1,2,4
65,2,2,1,2,5
66,2,2,1,2,5
67,2,2,1,2,1
68,2,2,3,4,1
69,2,2,3,4,1
70,4,2,3,4,1
71,4,2,3,5,1
72,4,2,3,5,1
73,1,5,4,3,2
74,1,5,4,3,2
75,1,1,4,3,2
76,1,1,5,3,2
77,1,1,5,3,2
78,1,1,1,2,2
79,3,1,1,2,2
80,3,1,1,2,2
81,3,3,1,2,4
82,3,3,1,2,4
83,3,3,1,2,4
84,2,3,3,2,5
85,2,3,3,2,5
86,2,2,3,4,1
87,2,2,3,4,1
88,2,2,3,4,1
89,2,2,2,5,1
90,2,2,2,5,1
