period,cock,crow,owl,peacock,vulture
0,5,4,2,1,3
1,5,4,2,1,3
2,5,4,2,1,3
3,1,4,2,1,3
4,1,5,2,1,3
5,1,5,2,1,3
6,1,1,2,1,2
7,1,1,2,3,2
8,1,1,2,3,2
9,3,1,4,3,2
10,3,1,4,3,2
11,3,1,4,3,2
12,3,3,5,2,2
13,3,3,5,2,2
14,2,3,1,2,4
15,2,3,1,2,4
16,2,3,1,2,4
17,2,2,1,2,5
18,2,2,1,2,5
19,2,2,1,2,1
20,2,2,3,4,1
21,2,2,3,4,1
22,4,2,3,4,1
23,4,2,3,5,1
24,4,2,3,5,1
25,1,5,4,3,2
26,1,5,4,3,2
27,1,1,4,3,2
28,1,1,5,3,2
29,1,1,5,3,2
30,1,1,1,2,2
31,3,1,1,2,2
32,3,1,1,2,2
33,3,3,1,2,4
34,3,3,1,2,4
35,3,3,1,2,4
36,2,3,3,2,5
37,2,3,3,2,5
38,2,2,3,4,1
39,2,2,3,4,1
40,2,2,3,4,1
41,2,2,2,5,1
42,2,2,2,5,1
43,2,2,2,1,1
44,4,2,2,1,3
45,4,2,2,1,3
46,4,4,2,1,3
47,5,4,2,1,3
48,5,4,2,1,3
49,3,1,5,2,4
50,3,1,5,2,4
51,3,1,1,2,4
52,3,1,1,2,5
53,3,1,1,2,5
54,2,1,1,2,1
55,2,3,1,2,1
56,2,3,1,2,1
57,2,3,3,4,1
58,2,3,3,4,1
59,2,3,3,4,1
60,2,2,3,5,3
61,2,2,3,5,3
62,4,2,2,1,3
63,4,2,2,1,3
64,4,2,2,1,3
65,5,2,2,1,2
66,5,2,2,1,2
67,1,2,2,1,2
68,1,4,2,3,2
69,1,4,2,3,2
70,1,4,4,3,2
71,1,5,4,3,2
72,1,5,4,3,2
73,2,3,1,4,5
74,2,3,1,4,5
75,2,3,1,4,1
76,2,3,1,5,1
77,2,3,1,5,1
78,2,2,1,1,1
79,2,2,3,1,1
80,2,2,3,1,1
