period,cock,crow,owl,peacock,vulture
0,3,1,5,2,4
1,3,1,5,2,4
2,3,1,5,2,4
3,3,1,1,2,4
4,3,1,1,2,5
5,3,1,1,2,5
6,2,1,1,2,1
7,2,3,1,2,1
8,2,3,1,2,1
9,2,3,3,4,1
10,2,3,3,4,1
11,2,3,3,4,1
12,2,2,3,5,3
13,2,2,3,5,3
14,4,2,2,1,3
15,4,2,2,1,3
16,4,2,2,1,3
17,5,2,2,1,2
18,5,2,2,1,2
19,1,2,2,1,2
20,1,4,2,3,2
21,1,4,2,3,2
22,1,4,4,3,2
23,1,5,4,3,2
24,1,5,4,3,2
25,2,3,1,4,5
26,2,3,1,4,5
27,2,3,1,4,1
28,2,3,1,5,1
29,2,3,1,5,1
30,2,2,1,1,1
31,2,2,3,1,1
32,2,2,3,1,1
33,4,2,3,1,3
34,4,2,3,1,3
35,4,2,3,1,3
36,5,2,2,3,3
37,5,2,2,3,3
38,1,4,2,3,2
39,1,4,2,3,2
40,1,4,2,3,2
41,1,5,2,2,2
42,1,5,2,2,2
43,1,1,2,2,2
44,3,1,4,2,2
45,3,1,4,2,2
46,3,1,4,2,4
47,3,1,5,2,4
48,3,1,5,2,4
49,4,2,3,5,1
50,4,2,3,5,1
51,4,2,3,1,1
52,5,2,3,1,1
53,5,2,3,1,1
54,1,2,2,1,1
55,1,2,2,1,3
56,1,2,2,1,3
57,1,4,2,3,3
58,1,4,2,3,3
59,1,4,2,3,3
60,3,5,2,3,2
61,3,5,2,3,2
62,3,1,4,2,2
63,3,1,4,2,2
64,3,1,4,2,2
65,2,1,5,2,2
66,2,1,5,2,2
67,2,1,1,2,2
68,2,3,1,2,4
69,2,3,1,2,4
70,2,3,1,4,4
71,2,3,1,4,5
72,2,3,1,4,5
73,5,4,2,1,3
74,5,4,2,1,3
75,1,4,2,1,3
76,1,5,2,1,3
77,1,5,2,1,3
78,1,1,2,1,2
79,1,1,2,3,2
80,1,1,2,3,2
81,3,1,4,3,2
82,3,1,4,3,2
83,3,1,4,3,2
84,3,3,5,2,2
85,3,3,5,2,2
86,2,3,1,2,4
87,2,3,1,2,4
88,2,3,1,2,4
89,2,2,1,2,5
90,2,2,1,2,5
91,2,2,1,2,1
92,2,2,3,4,1
93,2,2,3,4,1
94,4,2,3,4,1
95,4,2,3,5,1
96,4,2,3,5,1
97,1,5,4,3,2
98,1,5,4,3,2
99,1,1,4,3,2
100,1,1,5,3,2
101,1,1,5,3,2
102,1,1,1,2,2
103,3,1,1,2,2
104,3,1,1,2,2
105,3,3,1,2,4
106,3,3,1,2,4
107,3,3,1,2,4
108,2,3,3,2,5
109,2,3,3,2,5
110,2,2,3,4,1
111,2,2,3,4,1
112,2,2,3,4,1
113,2,2,2,5,1
114,2,2,2,5,1
115,2,2,2,1,1
116,4,2,2,1,3
117,4,2,2,1,3
118,4,4,2,1,3
119,5,4,2,1,3
120,5,4,2,1,3
121,2,5,3,1,4
122,2,5,3,1,4
123,2,5,3,1,4
124,2,5,3,1,4
125,5,5,3,1,1
126,5,5,4,2,1
127,5,3,4,2,1
128,5,3,4,2,1
129,5,3,4,2,1
130,5,3,1,5,2
131,3,3,1,5,2
132,3,4,1,5,2
133,3,4,1,5,2
134,3,4,1,5,5
135,3,4,2,5,5
136,4,1,2,3,5
137,4,1,2,3,5
138,4,1,2,3,5
139,4,1,5,3,5
140,1,1,5,3,3
141,1,2,5,4,3
142,1,2,5,4,3
143,1,2,5,4,3
144,1,2,5,4,3
145,5,3,4,2,1
146,5,3,4,2,1
147,5,3,4,2,1
148,5,3,4,2,1
149,5,3,1,5,1
150,5,4,1,5,2
151,3,4,1,5,2
152,3,4,1,5,2
153,3,4,1,5,2
154,3,1,2,5,5
155,3,1,2,3,5
156,4,1,2,3,5
157,4,1,2,3,5
158,4,1,5,3,5
159,4,2,5,3,5
160,1,2,5,4,3
161,1,2,5,4,3
162,1,2,5,4,3
163,1,5,5,4,3
164,1,5,3,1,3
165,2,5,3,1,4
166,2,5,3,1,4
167,2,5,3,1,4
168,2,5,3,1,4
169,3,4,1,5,2
170,3,4,1,5,2
171,3,4,1,5,2
172,3,4,1,5,2
173,3,1,1,5,5
174,4,1,2,5,5
175,4,1,2,3,5
176,4,1,2,3,5
177,4,1,2,3,5
178,1,2,5,3,5
179,1,2,5,3,3
180,1,2,5,4,3
181,1,2,5,4,3
182,1,5,5,4,3
183,2,5,5,4,3
184,2,5,3,1,4
185,2,5,3,1,4
186,2,5,3,1,4
187,5,5,3,1,4
188,5,3,3,1,1
189,5,3,4,2,1
190,5,3,4,2,1
191,5,3,4,2,1
192,5,3,4,2,1
193,4,1,2,3,5
194,4,1,2,3,5
195,4,1,2,3,5
196,4,1,2,3,5
197,1,1,5,3,5
198,1,2,5,4,5
199,1,2,5,4,3
200,1,2,5,4,3
201,1,2,5,4,3
202,2,5,5,1,3
203,2,5,3,1,3
204,2,5,3,1,4
205,2,5,3,1,4
206,5,5,3,1,4
207,5,5,3,2,4
208,5,3,4,2,1
209,5,3,4,2,1
210,5,3,4,2,1
211,5,3,4,5,1
212,3,3,1,5,1
213,3,4,1,5,2
214,3,4,1,5,2
215,3,4,1,5,2
216,3,4,1,5,2
217,1,2,5,4,3
218,1,2,5,4,3
219,1,2,5,4,3
220,1,2,5,4,3
221,1,5,5,1,3
222,2,5,5,1,4
223,2,5,3,1,4
224,2,5,3,1,4
225,2,5,3,1,4
226,5,5,3,2,1
227,5,3,3,2,1
228,5,3,4,2,1
229,5,3,4,2,1
230,5,3,4,5,1
231,5,3,4,5,2
232,3,4,1,5,2
233,3,4,1,5,2
234,3,4,1,5,2
235,3,4,1,5,5
236,3,1,1,3,5
237,4,1,2,3,5
238,4,1,2,3,5
239,4,1,2,3,5
240,4,1,2,3,5
