period,cock,crow,owl,peacock,vulture
0,3,5,2,4,1
1,3,5,2,4,1
2,3,5,2,4,1
3,3,5,2,2,1
4,3,5,3,2,1
5,3,5,3,2,1
6,3,4,3,3,1
7,1,4,3,3,1
8,1,2,3,3,1
9,1,2,3,3,5
10,1,2,1,3,5
11,1,3,1,3,5
12,1,3,1,1,5
13,1,3,1,1,5
14,1,3,1,1,4
15,5,3,1,1,4
16,5,3,1,1,2
17,5,1,1,1,2
18,5,1,5,1,2
19,5,1,5,1,3
20,4,1,5,5,3
21,4,1,5,5,3
22,2,1,5,5,3
23,2,1,4,5,3
24,2,1,4,5,3
25,1,4,3,2,5
26,1,4,3,2,5
27,1,2,3,2,5
28,1,2,3,3,5
29,1,2,3,3,5
30,1,3,3,3,4
31,1,3,1,3,4
32,1,3,1,3,2
33,5,3,1,3,2
34,5,3,1,1,2
35,5,3,1,1,3
36,5,1,1,1,3
37,5,1,1,1,3
38,4,1,1,1,3
39,4,1,5,1,3
40,2,1,5,1,3
41,2,1,5,1,1
42,2,1,5,5,1
43,3,1,5,5,1
44,3,5,4,5,1
45,3,5,4,5,1
46,3,5,2,5,1
47,3,5,2,4,1
48,3,5,2,4,1
49,5,2,1,3,4
50,5,2,1,3,4
51,5,2,1,3,2
52,5,3,1,3,2
53,5,3,1,3,2
54,4,3,1,3,3
55,4,3,1,1,3
56,2,3,1,1,3
57,2,3,5,1,3
58,2,1,5,1,3
59,3,1,5,1,3
60,3,1,5,1,1
61,3,1,5,1,1
62,3,1,4,1,1
63,3,1,4,5,1
64,3,1,2,5,1
65,1,1,2,5,1
66,1,5,2,5,1
67,1,5,3,5,1
68,1,5,3,4,5
69,1,5,3,4,5
70,1,5,3,2,5
71,1,4,3,2,5
72,1,4,3,2,5
73,4,3,5,1,2
74,4,3,5,1,2
75,2,3,5,1,2
76,2,3,5,1,3
77,2,3,5,1,3
78,3,3,4,1,3
79,3,1,4,1,3
80,3,1,2,1,3
81,3,1,2,5,3
82,3,1,2,5,1
83,3,1,3,5,1
84,1,1,3,5,1
85,1,1,3,5,1
86,1,1,3,4,1
87,1,5,3,4,1
88,1,5,3,2,1
89,1,5,1,2,1
90,1,5,1,2,5
91,1,5,1,3,5
92,5,4,1,3,5
93,5,4,1,3,5
94,5,2,1,3,5
95,5,2,1,3,4
96,5,2,1,3,4
97,2,1,4,5,3
98,2,1,4,5,3
99,2,1,2,5,3
100,3,1,2,5,3
101,3,1,2,5,3
102,3,1,3,4,3
103,3,1,3,4,1
104,3,1,3,2,1
105,3,5,3,2,1
106,1,5,3,2,1
107,1,5,3,3,1
108,1,5,1,3,1
109,1,5,1,3,1
110,1,4,1,3,1
111,1,4,1,3,5
112,1,2,1,3,5
113,1,2,1,1,5
114,5,2,1,1,5
115,5,3,1,1,5
116,5,3,5,1,4
117,5,3,5,1,4
118,5,3,5,1,2
119,4,3,5,1,2
120,4,3,5,1,2
121,5,4,2,1,3
122,5,4,2,1,3
123,5,4,2,1,3
124,5,3,1,1,3
125,2,3,1,1,3
126,2,3,1,1,3
127,2,3,1,1,3
128,1,3,1,4,5
129,1,3,1,4,5
130,1,3,1,4,5
131,1,5,4,3,5
132,1,5,4,3,2
133,1,5,4,3,2
134,1,5,3,3,2
135,4,2,3,3,1
136,4,2,3,3,1
137,4,2,3,3,1
138,3,1,3,5,1
139,3,1,3,5,1
140,3,1,3,5,1
141,3,1,5,5,1
142,3,1,5,2,4
143,3,1,5,2,4
144,3,1,5,2,4
145,1,3,1,4,5
146,1,3,1,4,5
147,1,3,1,4,5
148,1,3,1,3,5
149,1,3,1,3,2
150,1,3,1,3,2
151,1,3,1,3,2
152,5,5,4,3,1
153,5,5,4,3,1
154,5,5,4,3,1
155,5,5,3,5,1
156,4,2,3,5,1
157,4,2,3,5,1
158,4,2,3,5,1
159,2,1,3,2,4
160,2,1,3,2,4
161,2,1,3,2,4
162,3,1,5,1,3
163,3,1,5,1,3
164,3,1,5,1,3
165,3,1,5,1,3
166,3,4,2,1,3
167,3,4,2,1,3
168,3,4,2,1,3
169,5,5,4,3,2
170,5,5,4,3,2
171,5,5,4,3,2
172,5,5,3,3,1
173,4,2,3,3,1
174,4,2,3,3,1
175,4,2,3,3,1
176,2,1,3,5,1
177,2,1,3,5,1
178,2,1,3,5,1
179,3,1,5,5,4
180,3,1,5,2,4
181,3,1,5,2,4
182,3,1,5,2,3
183,3,4,2,1,3
184,3,4,2,1,3
185,3,4,2,1,3
186,1,3,1,1,3
187,1,3,1,1,3
188,1,3,1,1,3
189,1,3,1,1,5
190,1,3,1,4,5
191,1,3,1,4,5
192,1,3,1,4,5
193,4,2,3,5,1
194,4,2,3,5,1
195,4,2,3,5,1
196,2,1,3,5,1
197,2,1,3,2,1
198,2,1,3,2,1
199,3,1,3,2,1
200,3,1,5,1,4
201,3,1,5,1,4
202,3,1,5,1,4
203,3,4,5,1,3
204,3,4,2,1,3
205,3,4,2,1,3
206,1,3,2,1,3
207,1,3,1,4,3
208,1,3,1,4,3
209,1,3,1,4,3
210,1,3,1,3,5
211,1,3,1,3,5
212,1,3,1,3,5
213,5,5,1,3,5
214,5,5,4,3,2
215,5,5,4,3,2
216,5,5,4,3,2
217,2,1,5,2,4
218,2,1,5,2,4
219,2,1,5,2,4
220,3,1,5,1,3
221,3,1,2,1,3
222,3,1,2,1,3
223,3,1,2,1,3
224,3,4,1,1,3
225,3,4,1,1,3
226,3,4,1,1,3
227,1,3,1,4,5
228,1,3,1,4,5
229,1,3,1,4,5
230,1,3,1,3,5
231,1,3,4,3,2
232,1,3,4,3,2
233,1,3,4,3,2
234,5,5,3,3,1
235,5,5,3,3,1
236,5,5,3,3,1
237,5,5,3,5,1
238,4,2,3,5,1
239,4,2,3,5,1
240,4,2,3,5,1
