period,cock,crow,owl,peacock,vulture
0,4,3,5,1,2
1,4,3,5,1,2
2,4,3,5,1,2
3,2,3,5,1,2
4,2,3,5,1,3
5,2,3,5,1,3
6,3,3,4,1,3
7,3,1,4,1,3
8,3,1,2,1,3
9,3,1,2,5,3
10,3,1,2,5,1
11,3,1,3,5,1
12,1,1,3,5,1
13,1,1,3,5,1
14,1,1,3,4,1
15,1,5,3,4,1
16,1,5,3,2,1
17,1,5,1,2,1
18,1,5,1,2,5
19,1,5,1,3,5
20,5,4,1,3,5
21,5,4,1,3,5
22,5,2,1,3,5
23,5,2,1,3,4
24,5,2,1,3,4
25,2,1,4,5,3
26,2,1,4,5,3
27,2,1,2,5,3
28,3,1,2,5,3
29,3,1,2,5,3
30,3,1,3,4,3
31,3,1,3,4,1
32,3,1,3,2,1
33,3,5,3,2,1
34,1,5,3,2,1
35,1,5,3,3,1
36,1,5,1,3,1
37,1,5,1,3,1
38,1,4,1,3,1
39,1,4,1,3,5
40,1,2,1,3,5
41,1,2,1,1,5
42,5,2,1,1,5
43,5,3,1,1,5
44,5,3,5,1,4
45,5,3,5,1,4
46,5,3,5,1,2
47,4,3,5,1,2
48,4,3,5,1,2
49,3,5,2,4,1
50,3,5,2,4,1
51,3,5,2,2,1
52,3,5,3,2,1
53,3,5,3,2,1
54,3,4,3,3,1
55,1,4,3,3,1
56,1,2,3,3,1
57,1,2,3,3,5
58,1,2,1,3,5
59,1,3,1,3,5
60,1,3,1,1,5
61,1,3,1,1,5
62,1,3,1,1,4
63,5,3,1,1,4
64,5,3,1,1,2
65,5,1,1,1,2
66,5,1,5,1,2
67,5,1,5,1,3
68,4,1,5,5,3
69,4,1,5,5,3
70,2,1,5,5,3
71,2,1,4,5,3
72,2,1,4,5,3
73,1,4,3,2,5
74,1,4,3,2,5
75,1,2,3,2,5
76,1,2,3,3,5
77,1,2,3,3,5
78,1,3,3,3,4
79,1,3,1,3,4
80,1,3,1,3,2
81,5,3,1,3,2
82,5,3,1,1,2
83,5,3,1,1,3
84,5,1,1,1,3
85,5,1,1,1,3
86,4,1,1,1,3
87,4,1,5,1,3
88,2,1,5,1,3
89,2,1,5,1,1
90,2,1,5,5,1
91,3,1,5,5,1
92,3,5,4,5,1
93,3,5,4,5,1
94,3,5,2,5,1
95,3,5,2,4,1
96,3,5,2,4,1
97,5,2,1,3,4
98,5,2,1,3,4
99,5,2,1,3,2
100,5,3,1,3,2
101,5,3,1,3,2
102,4,3,1,3,3
103,4,3,1,1,3
104,2,3,1,1,3
105,2,3,5,1,3
106,2,1,5,1,3
107,3,1,5,1,3
108,3,1,5,1,1
109,3,1,5,1,1
110,3,1,4,1,1
111,3,1,4,5,1
112,3,1,2,5,1
113,1,1,2,5,1
114,1,5,2,5,1
115,1,5,3,5,1
116,1,5,3,4,5
117,1,5,3,4,5
118,1,5,3,2,5
119,1,4,3,2,5
120,1,4,3,2,5
121,1,5,4,3,2
122,1,5,4,3,2
123,1,5,4,3,2
124,1,5,3,3,2
125,1,2,3,3,2
126,1,2,3,3,2
127,1,2,3,3,2
128,4,1,3,5,1
129,4,1,3,5,1
130,4,1,3,5,1
131,3,1,5,5,4
132,3,1,5,2,4
133,3,1,5,2,4
134,3,1,5,2,4
135,3,4,2,1,4
136,3,4,2,1,4
137,3,4,2,1,4
138,5,3,1,1,3
139,5,3,1,1,3
140,5,3,1,1,3
141,5,3,1,1,3
142,2,3,1,4,5
143,2,3,1,4,5
144,2,3,1,4,5
145,4,2,3,5,1
146,4,2,3,5,1
147,4,2,3,5,1
148,3,1,3,5,4
149,3,1,3,2,4
150,3,1,3,2,4
151,3,1,3,2,4
152,3,1,5,1,4
153,3,1,5,1,4
154,3,1,5,1,4
155,5,4,5,1,3
156,5,4,2,1,3
157,5,4,2,1,3
158,5,3,2,1,3
159,2,3,1,4,5
160,2,3,1,4,5
161,2,3,1,4,5
162,1,3,1,3,2
163,1,3,1,3,2
164,1,3,1,3,2
165,1,5,1,3,2
166,1,5,4,3,2
167,1,5,4,3,2
168,1,5,4,3,2
169,3,1,5,2,4
170,3,1,5,2,4
171,3,1,5,2,4
172,3,1,5,1,4
173,3,1,2,1,4
174,3,1,2,1,4
175,3,1,2,1,4
176,5,4,1,1,3
177,5,4,1,1,3
178,5,4,1,1,3
179,5,3,1,4,3
180,2,3,1,4,5
181,2,3,1,4,5
182,2,3,1,3,5
183,1,3,4,3,2
184,1,3,4,3,2
185,1,3,4,3,2
186,1,5,3,3,2
187,1,5,3,3,2
188,1,5,3,3,2
189,1,5,3,5,2
190,4,2,3,5,1
191,4,2,3,5,1
192,4,2,3,5,1
193,5,4,2,1,3
194,5,4,2,1,3
195,5,4,2,1,3
196,5,3,1,1,3
197,2,3,1,1,5
198,2,3,1,1,5
199,2,3,1,1,5
200,1,3,1,4,2
201,1,3,1,4,2
