period,cock,crow,owl,peacock,vulture
0,1,4,3,2,5
1,1,4,3,2,5
2,1,4,3,2,5
3,1,2,3,2,5
4,1,2,3,3,5
5,1,2,3,3,5
6,1,3,3,3,4
7,1,3,1,3,4
8,1,3,1,3,2
9,5,3,1,3,2
10,5,3,1,1,2
11,5,3,1,1,3
12,5,1,1,1,3
13,5,1,1,1,3
14,4,1,1,1,3
15,4,1,5,1,3
16,2,1,5,1,3
17,2,1,5,1,1
18,2,1,5,5,1
19,3,1,5,5,1
20,3,5,4,5,1
21,3,5,4,5,1
22,3,5,2,5,1
23,3,5,2,4,1
24,3,5,2,4,1
25,5,2,1,3,4
26,5,2,1,3,4
27,5,2,1,3,2
28,5,3,1,3,2
29,5,3,1,3,2
30,4,3,1,3,3
31,4,3,1,1,3
32,2,3,1,1,3
33,2,3,5,1,3
34,2,1,5,1,3
35,3,1,5,1,3
36,3,1,5,1,1
37,3,1,5,1,1
38,3,1,4,1,1
39,3,1,4,5,1
40,3,1,2,5,1
41,1,1,2,5,1
42,1,5,2,5,1
43,1,5,3,5,1
44,1,5,3,4,5
45,1,5,3,4,5
46,1,5,3,2,5
47,1,4,3,2,5
48,1,4,3,2,5
49,4,3,5,1,2
50,4,3,5,1,2
51,2,3,5,1,2
52,2,3,5,1,3
53,2,3,5,1,3
54,3,3,4,1,3
55,3,1,4,1,3
56,3,1,2,1,3
57,3,1,2,5,3
58,3,1,2,5,1
59,3,1,3,5,1
60,1,1,3,5,1
61,1,1,3,5,1
62,1,1,3,4,1
63,1,5,3,4,1
64,1,5,3,2,1
65,1,5,1,2,1
66,1,5,1,2,3
67,1,5,1,3,3
68,5,4,1,3,3
69,5,4,1,3,3
70,5,2,1,3,3
71,5,2,1,3,4
72,5,2,1,3,4
73,2,1,4,5,3
74,2,1,4,5,3
75,2,1,2,5,3
76,3,1,2,5,3
77,3,1,2,5,3
78,3,1,3,4,3
79,3,1,3,4,1
80,3,1,3,2,1
81,3,5,3,2,1
82,1,5,3,2,1
83,1,5,3,3,1
84,1,5,1,3,1
85,1,5,1,3,1
86,1,4,1,3,1
87,1,4,1,3,3
88,1,2,1,3,3
89,1,2,1,1,3
90,5,2,1,1,3
91,5,3,1,1,3
92,5,3,5,1,4
93,5,3,5,1,4
94,5,3,5,1,2
95,4,3,5,1,2
96,4,3,5,1,2
97,3,5,2,4,1
98,3,5,2,4,1
99,3,5,2,2,1
100,3,5,3,2,1
101,3,5,3,2,1
102,3,4,3,3,1
103,1,4,3,3,1
104,1,2,3,3,1
105,1,2,3,3,5
106,1,2,1,3,5
107,1,3,1,3,5
108,1,3,1,1,5
109,1,3,1,1,5
110,1,3,1,1,4
111,5,3,1,1,4
112,5,3,1,1,2
113,5,1,1,1,2
114,5,1,5,1,2
115,5,1,5,1,3
116,4,1,5,5,3
117,4,1,5,5,3
118,2,1,5,5,3
119,2,1,4,5,3
120,2,1,4,5,3
121,3,1,5,2,4
122,3,1,5,2,4
123,3,1,5,2,4
124,3,1,5,1,3
125,3,1,2,1,3
126,3,1,2,1,3
127,3,1,2,1,3
128,5,4,1,1,3
129,5,4,1,1,3
130,5,4,1,1,3
131,5,3,1,4,5
132,2,3,1,4,5
133,2,3,1,4,5
134,2,3,1,3,5
135,1,3,4,3,2
136,1,3,4,3,2
137,1,3,4,3,2
138,1,5,3,3,1
139,1,5,3,3,1
140,1,5,3,3,1
141,1,5,3,5,1
142,4,2,3,5,1
143,4,2,3,5,1
144,4,2,3,5,1
145,5,4,2,1,3
146,5,4,2,1,3
147,5,4,2,1,3
148,5,3,1,1,3
149,2,3,1,1,3
150,2,3,1,1,3
151,2,3,1,1,3
152,1,3,1,4,5
153,1,3,1,4,5
154,1,3,1,4,5
155,1,5,4,3,5
156,1,5,4,3,2
157,1,5,4,3,2
158,1,5,3,3,2
159,4,2,3,3,1
160,4,2,3,3,1
161,4,2,3,3,1
162,3,1,3,5,1
163,3,1,3,5,1
164,3,1,3,5,1
165,3,1,5,5,1
166,3,1,5,2,4
167,3,1,5,2,4
168,3,1,5,2,4
169,2,3,1,4,5
170,2,3,1,4,5
171,2,3,1,4,5
172,1,3,1,3,5
173,1,3,1,3,2
174,1,3,1,3,2
175,1,3,1,3,2
176,1,5,4,3,1
177,1,5,4,3,1
178,1,5,4,3,1
179,4,5,3,5,1
180,4,2,3,5,1
181,4,2,3,5,1
182,3,2,3,5,1
183,3,1,3,2,4
184,3,1,3,2,4
185,3,1,3,2,4
186,3,1,5,1,3
187,3,1,5,1,3
188,3,1,5,1,3
189,5,1,5,1,3
190,5,4,2,1,3
191,5,4,2,1,3
192,5,4,2,1,3
193,1,5,4,3,2
194,1,5,4,3,2
195,1,5,4,3,2
196,1,5,3,3,1
197,1,2,3,3,1
198,1,2,3,3,1
199,1,2,3,3,1
200,4,1,3,5,1
201,4,1,3,5,1
202,4,1,3,5,1
203,3,1,5,5,4
204,3,1,5,2,4
205,3,1,5,2,4
206,3,1,5,2,3
207,3,4,2,1,3
208,3,4,2,1,3
209,3,4,2,1,3
210,5,3,1,1,3
211,5,3,1,1,3
212,5,3,1,1,3
213,5,3,1,1,5
214,2,3,1,4,5
215,2,3,1,4,5
216,2,3,1,4,5
217,4,2,3,5,1
218,4,2,3,5,1
219,4,2,3,5,1
220,3,1,3,5,1
221,3,1,3,2,1
222,3,1,3,2,1
223,3,1,3,2,1
224,3,1,5,1,4
225,3,1,5,1,4
226,3,1,5,1,4
227,5,4,5,1,3
228,5,4,2,1,3
229,5,4,2,1,3
230,5,3,2,1,3
231,2,3,1,4,3
232,2,3,1,4,3
233,2,3,1,4,3
234,1,3,1,3,5
235,1,3,1,3,5
236,1,3,1,3,5
237,1,5,1,3,5
238,1,5,4,3,2
239,1,5,4,3,2
240,1,5,4,3,2
