period,cock,crow,owl,peacock,vulture
0,2,1,4,5,3
1,2,1,4,5,3
2,2,1,4,5,3
3,2,1,2,5,3
4,3,1,2,5,3
5,3,1,2,5,3
6,3,1,3,4,3
7,3,1,3,4,1
8,3,1,3,2,1
9,3,5,3,2,1
10,1,5,3,2,1
11,1,5,3,3,1
12,1,5,1,3,1
13,1,5,1,3,1
14,1,4,1,3,1
15,1,4,1,3,5
16,1,2,1,3,5
17,1,2,1,1,5
18,5,3,1,1,5
19,5,3,1,1,5
20,5,3,5,1,4
21,5,3,5,1,4
22,5,3,5,1,2
23,5,3,5,1,2
24,5,3,5,1,2
25,3,5,2,4,1
26,3,5,2,4,1
27,3,5,2,2,1
28,3,5,3,2,1
29,3,5,3,2,1
30,3,4,3,3,1
31,1,4,3,3,1
32,1,2,3,3,1
33,1,2,3,3,5
34,1,3,1,3,5
35,1,3,1,3,5
36,1,3,1,1,5
37,1,3,1,1,5
38,1,3,1,1,4
39,5,3,1,1,4
40,5,3,1,1,2
41,5,1,1,1,2
42,5,1,5,1,2
43,5,1,5,1,3
44,4,1,5,5,3
45,4,1,5,5,3
46,2,1,5,5,3
47,2,1,4,5,3
48,2,1,4,5,3
49,1,4,3,2,5
50,1,4,3,2,5
51,1,2,3,2,5
52,1,2,3,3,5
53,1,3,3,3,5
54,1,3,3,3,4
55,1,3,1,3,4
56,1,3,1,3,2
57,5,3,1,3,2
58,5,3,1,1,2
59,5,3,1,1,3
60,5,1,1,1,3
61,5,1,1,1,3
62,4,1,1,1,3
63,4,1,5,1,3
64,2,1,5,1,3
65,2,1,5,1,1
66,2,1,5,5,1
67,3,1,5,5,1
68,3,5,4,5,1
69,3,5,4,5,1
70,3,5,2,5,1
71,3,5,2,4,1
72,3,5,2,4,1
73,5,2,1,3,4
74,5,2,1,3,4
75,5,3,1,3,2
76,5,3,1,3,2
77,5,3,1,3,2
78,4,3,1,3,3
79,4,3,1,1,3
80,2,3,1,1,3
81,2,3,5,1,3
82,2,1,5,1,3
83,3,1,5,1,3
84,3,1,5,1,1
85,3,1,5,1,1
86,3,1,4,1,1
87,3,1,4,5,1
88,3,1,2,5,1
89,1,1,2,5,1
90,1,5,2,5,1
91,1,5,3,5,1
92,1,5,3,4,5
93,1,5,3,4,5
94,1,5,3,2,5
95,1,4,3,2,5
96,1,4,3,2,5
97,4,3,5,1,2
98,4,3,5,1,2
99,2,3,5,1,2
100,2,3,5,1,3
101,2,3,5,1,3
102,3,3,4,1,3
103,3,3,4,1,3
104,3,1,2,1,3
105,3,1,2,5,3
106,3,1,2,5,1
107,3,1,3,5,1
108,1,1,3,5,1
109,1,1,3,5,1
110,1,1,3,4,1
111,1,1,3,4,1
112,1,5,3,2,1
